,datetime_cl,carb_pos_low,carb_val_low,datetime_ch,carb_pos_high,carb_val_high,datetime_ph,pp_pos_high,pp_val_high,datetime_pl,pp_pos_low,pp_val_low,datetime_mov,mov_pos,razor_id,datetime_cam,cam_mov_pos,reject
0,2024-03-01 11:00:01.798,0.1768986,390.0,2024-03-01 11:00:01.925,0.98818159,620.0,2024-03-01 11:00:01.988,0.76190817,300.0,2024-03-01 11:00:02.179,0.0286614,730.0,2024-03-01 11:00:02.179,905.12750244,1_23,2024-03-01 11:00:08.442,3193.87207031,0.0
1,2024-03-01 11:00:03.003,0.17659681,350.0,2024-03-01 11:00:03.130,0.99939722,610.0,2024-03-01 11:00:03.192,0.76193821,280.0,2024-03-01 11:00:03.381,0.0246042,720.0,2024-03-01 11:00:03.381,905.21179199,1_20,2024-03-01 11:00:09.772,3194.02392578,0.0
2,2024-03-01 11:00:05.406,0.177049,310.0,2024-03-01 11:00:05.595,0.99063718,610.0,2024-03-01 11:00:05.595,0.76190478,280.0,2024-03-01 11:00:05.783,0.0232654,710.0,2024-03-01 11:00:05.783,905.28369141,1_14,2024-03-01 11:00:12.181,3194.01611328,0.0
3,2024-03-01 11:00:06.226,0.17660099,370.0,2024-03-01 11:00:06.354,0.99934518,600.0,2024-03-01 11:00:06.417,0.76193178,280.0,2024-03-01 11:00:06.606,0.0246122,720.0,2024-03-01 11:00:06.606,905.31170654,1_12,2024-03-01 11:00:12.814,3193.97094727,0.0
4,2024-03-01 11:00:06.606,0.1768986,420.0,2024-03-01 11:00:06.794,0.98816681,600.0,2024-03-01 11:00:06.858,0.7619158,290.0,2024-03-01 11:00:07.048,0.0288408,720.0,2024-03-01 11:00:07.048,905.40002441,1_11,2024-03-01 11:00:13.323,3194.15649414,0.0
5,2024-03-01 11:00:08.253,0.1770232,320.0,2024-03-01 11:00:08.378,0.99939758,610.0,2024-03-01 11:00:08.442,0.76190919,300.0,2024-03-01 11:00:08.695,0.0287672,720.0,2024-03-01 11:00:08.695,905.2677002,1_07,2024-03-01 11:00:14.904,3193.94799805,0.0
6,2024-03-01 11:00:08.628,0.16949441,290.0,2024-03-01 11:00:08.819,0.99936342,600.0,2024-03-01 11:00:08.883,0.76191479,300.0,2024-03-01 11:00:09.073,0.028848,720.0,2024-03-01 11:00:09.073,905.25567627,1_06,2024-03-01 11:00:15.409,3193.9152832,0.0
7,2024-03-01 11:00:10.279,0.17706519,320.0,2024-03-01 11:00:10.406,0.99067241,590.0,2024-03-01 11:00:10.406,0.76191318,280.0,2024-03-01 11:00:10.595,0.0232646,710.0,2024-03-01 11:00:10.595,905.31982422,1_02,2024-03-01 11:00:02.438,3193.97167969,0.0
8,2024-03-01 11:00:13.450,0.17701919,330.0,2024-03-01 11:00:13.639,0.99009919,620.0,2024-03-01 11:00:13.639,0.76186979,290.0,2024-03-01 11:00:13.830,0.0232666,690.0,2024-03-01 11:00:13.830,905.31982422,2_30,2024-03-01 11:00:20.240,3194.00390625,0.0
9,2024-03-01 11:00:14.353,0.1773998,480.0,2024-03-01 11:00:14.527,0.98890918,-50.0,2024-03-01 11:00:14.527,0.76196921,320.0,2024-03-01 11:00:14.716,0.0278436,720.0,2024-03-01 11:00:14.716,905.32800293,2_28,2024-03-01 11:00:20.989,3193.99609375,0.0
