,datetime_cl,carb_pos_low,carb_val_low,datetime_ch,carb_pos_high,carb_val_high,datetime_ph,pp_pos_high,pp_val_high,datetime_pl,pp_pos_low,pp_val_low,datetime_mov,mov_pos,razor_id,datetime_cam,cam_mov_pos,reject
19,2024-03-01 11:00:40.431,0.176249,640.0,2024-03-01 11:00:40.620,0.98993421,-120.0,2024-03-01 11:00:40.684,0.76326519,850.0,2024-03-01 11:00:40.873,0.0011256,850.0,2024-03-01 11:00:40.873,2191.12841797,1001_30,2024-03-01 11:00:43.109,3194.01171875,0.0
20,2024-03-01 11:00:42.844,0.1776212,670.0,2024-03-01 11:00:43.035,0.99227899,250.0,2024-03-01 11:00:43.035,0.76123101,850.0,2024-03-01 11:00:43.252,0.0235014,850.0,2024-03-01 11:00:43.252,2191.07275391,1001_24,2024-03-01 11:00:45.593,3193.88354492,0.0
21,2024-03-01 11:00:44.072,0.177615,670.0,2024-03-01 11:00:44.263,0.99229562,200.0,2024-03-01 11:00:44.263,0.76323682,860.0,2024-03-01 11:00:44.453,0.0105972,860.0,2024-03-01 11:00:44.453,2191.20361328,1001_21,2024-03-01 11:00:46.862,3194.05200195,0.0
22,2024-03-01 11:00:44.835,0.1766784,690.0,2024-03-01 11:00:45.024,0.99264961,100.0,2024-03-01 11:00:45.087,0.77991557,840.0,2024-03-01 11:00:45.278,0.0024432,860.0,2024-03-01 11:00:45.278,2191.20385742,1001_19,2024-03-01 11:00:47.561,3194.07592773,0.0
23,2024-03-01 11:00:45.214,0.17630219,640.0,2024-03-01 11:00:45.404,0.99262738,-120.0,2024-03-01 11:00:45.468,0.7602948,860.0,2024-03-01 11:00:45.657,0.0157764,850.0,2024-03-01 11:00:45.657,2191.40722656,1002_18,2024-03-01 11:00:48.069,3194.15966797,0.0
24,2024-03-01 11:00:46.038,0.17623819,650.0,2024-03-01 11:00:46.229,0.99258858,230.0,2024-03-01 11:00:46.229,0.76327258,860.0,2024-03-01 11:00:46.421,0.0009748,860.0,2024-03-01 11:00:46.421,2191.02368164,1002_16,2024-03-01 11:00:48.764,3193.87963867,0.0
25,2024-03-01 11:00:47.244,0.17668959,670.0,2024-03-01 11:00:47.434,0.98975682,-120.0,2024-03-01 11:00:47.498,0.76014203,860.0,2024-03-01 11:00:47.688,0.0233588,860.0,2024-03-01 11:00:47.688,2191.33496094,1002_13,2024-03-01 11:00:50.093,3194.16455078,0.0
26,2024-03-01 11:00:49.269,0.1767046,680.0,2024-03-01 11:00:49.465,0.98994458,200.0,2024-03-01 11:00:49.465,0.768848,860.0,2024-03-01 11:00:49.650,0.0009506,860.0,2024-03-01 11:00:49.650,2190.86401367,1002_08,2024-03-01 11:00:51.990,3193.77929688,0.0
27,2024-03-01 11:00:50.913,0.1766836,680.0,2024-03-01 11:00:51.041,0.989869,0.0,2024-03-01 11:00:51.105,0.76122558,860.0,2024-03-01 11:00:51.296,0.0182588,860.0,2024-03-01 11:00:51.296,2191.1640625,1002_04,2024-03-01 11:00:53.656,3194.0,0.0
28,2024-03-01 11:00:51.676,0.1776278,660.0,2024-03-01 11:00:51.865,0.992715,60.0,2024-03-01 11:00:51.927,0.76124239,860.0,2024-03-01 11:00:52.118,0.0157922,860.0,2024-03-01 11:00:52.118,2191.12744141,1002_02,2024-03-01 11:00:54.418,3194.03173828,0.0
29,2024-03-01 11:00:54.922,0.17761999,640.0,2024-03-01 11:00:55.112,0.99229401,160.0,2024-03-01 11:00:55.176,0.76106858,860.0,2024-03-01 11:00:55.365,0.022411,860.0,2024-03-01 11:00:55.365,2191.1237793,1002_30,2024-03-01 11:00:57.639,3194.01269531,0.0
30,2024-03-01 11:00:56.944,0.1660912,630.0,2024-03-01 11:00:57.132,0.98992342,40.0,2024-03-01 11:00:57.195,0.76798159,850.0,2024-03-01 11:00:57.322,0.0233478,860.0,2024-03-01 11:00:57.322,2191.15600586,1002_25,2024-03-01 11:00:59.731,3193.97290039,0.0
31,2024-03-01 11:00:58.971,0.1766604,670.0,2024-03-01 11:00:59.161,0.99228179,250.0,2024-03-01 11:00:59.161,0.76123983,860.0,2024-03-01 11:00:59.351,0.0095146,860.0,2024-03-01 11:00:59.351,2191.16040039,1002_20,2024-03-01 11:01:01.644,3194.00390625,0.0
32,2024-03-01 11:00:59.289,0.176292,640.0,2024-03-01 11:00:59.477,0.99265558,110.0,2024-03-01 11:00:59.541,0.7612648,860.0,2024-03-01 11:00:59.731,0.0001088,860.0,2024-03-01 11:00:59.731,2191.19165039,1002_19,2024-03-01 11:01:02.153,3194.01196289,0.0
33,2024-03-01 11:01:00.506,0.16610719,620.0,2024-03-01 11:01:00.697,0.9898358,110.0,2024-03-01 11:01:00.760,0.76106322,860.0,2024-03-01 11:01:00.948,0.0234822,860.0,2024-03-01 11:01:00.948,2191.02392578,1003_16,2024-03-01 11:01:03.357,3193.90771484,0.0
34,2024-03-01 11:01:01.328,0.177591,660.0,2024-03-01 11:01:01.517,0.99231118,160.0,2024-03-01 11:01:01.580,0.76124561,860.0,2024-03-01 11:01:01.771,0.0224048,860.0,2024-03-01 11:01:01.771,2191.16772461,1003_14,2024-03-01 11:01:04.054,3194.01855469,0.0
35,2024-03-01 11:01:02.915,0.16614141,640.0,2024-03-01 11:01:03.103,0.98987383,-120.0,2024-03-01 11:01:03.167,0.76330721,860.0,2024-03-01 11:01:03.357,0.0011564,860.0,2024-03-01 11:01:03.357,2191.01196289,1003_10,2024-03-01 11:01:05.766,3193.88964844,0.0
36,2024-03-01 11:01:05.384,0.17763659,650.0,2024-03-01 11:01:05.574,0.99232858,250.0,2024-03-01 11:01:05.574,0.76027977,850.0,2024-03-01 11:01:05.766,0.0018838,860.0,2024-03-01 11:01:05.766,2191.17602539,1003_04,2024-03-01 11:01:08.188,3193.99926758,0.0
37,2024-03-01 11:01:06.602,0.1776098,660.0,2024-03-01 11:01:06.792,0.99270141,190.0,2024-03-01 11:01:06.792,0.77632982,850.0,2024-03-01 11:01:06.983,0.002248,860.0,2024-03-01 11:01:06.983,2191.28759766,1003_01,2024-03-01 11:01:09.391,3194.11523438,0.0
38,2024-03-01 11:01:07.808,0.1767128,680.0,2024-03-01 11:01:07.997,0.98990577,0.0,2024-03-01 11:01:08.061,0.76099157,850.0,2024-03-01 11:01:08.251,0.0011476,860.0,2024-03-01 11:01:08.251,2190.94360352,1003_34,2024-03-01 11:01:10.526,3193.83618164,1.0
39,2024-03-01 11:01:08.188,0.16611861,610.0,2024-03-01 11:01:08.378,0.989905,-120.0,2024-03-01 11:01:08.441,0.7603122,860.0,2024-03-01 11:01:08.630,0.0231326,860.0,2024-03-01 11:01:08.630,2191.14428711,1003_33,2024-03-01 11:01:11.030,3194.00708008,0.0
40,2024-03-01 11:01:10.274,0.17667159,700.0,2024-03-01 11:01:10.465,0.99226803,250.0,2024-03-01 11:01:10.465,0.76121718,860.0,2024-03-01 11:01:10.653,0.0095714,860.0,2024-03-01 11:01:10.653,2191.12866211,1003_28,2024-03-01 11:01:12.952,3194.01220703,0.0
41,2024-03-01 11:01:11.030,0.17632,650.0,2024-03-01 11:01:11.222,0.99278581,40.0,2024-03-01 11:01:11.285,0.76027822,860.0,2024-03-01 11:01:11.480,0.0061936,860.0,2024-03-01 11:01:11.480,2191.19238281,1003_26,2024-03-01 11:01:13.712,3194.03979492,0.0
42,2024-03-01 11:01:12.635,0.16612761,630.0,2024-03-01 11:01:12.824,0.989887,-120.0,2024-03-01 11:01:12.888,0.76323283,860.0,2024-03-01 11:01:13.078,0.0009966,860.0,2024-03-01 11:01:13.078,2191.14770508,1003_22,2024-03-01 11:01:15.422,3194.00512695,0.0
43,2024-03-01 11:01:13.458,0.1661582,70.0,2024-03-01 11:01:13.649,0.99232101,260.0,2024-03-01 11:01:13.649,0.76094878,860.0,2024-03-01 11:01:13.837,0.0235046,860.0,2024-03-01 11:01:13.837,2191.17626953,1003_20,2024-03-01 11:01:16.121,3194.00341797,0.0
44,2024-03-01 11:01:15.043,0.17668641,670.0,2024-03-01 11:01:15.169,0.9898746,100.0,2024-03-01 11:01:15.233,0.76122183,860.0,2024-03-01 11:01:15.422,0.0095606,860.0,2024-03-01 11:01:15.422,2191.01586914,1004_16,2024-03-01 11:01:17.895,3193.86743164,0.0
45,2024-03-01 11:01:15.802,0.176292,640.0,2024-03-01 11:01:15.993,0.992742,-10.0,2024-03-01 11:01:16.057,0.76029938,860.0,2024-03-01 11:01:16.247,0.006254,860.0,2024-03-01 11:01:16.247,2191.18798828,1004_14,2024-03-01 11:01:18.589,3194.03222656,0.0
46,2024-03-01 11:01:17.067,0.1766592,700.0,2024-03-01 11:01:17.195,0.98977321,-120.0,2024-03-01 11:01:17.272,0.7632094,860.0,2024-03-01 11:01:17.504,0.0009828,860.0,2024-03-01 11:01:17.504,2191.28393555,1004_11,2024-03-01 11:01:19.860,3194.06005859,0.0
47,2024-03-01 11:01:17.895,0.17765459,660.0,2024-03-01 11:01:18.084,0.99226362,220.0,2024-03-01 11:01:18.084,0.7601524,860.0,2024-03-01 11:01:18.275,0.0232056,860.0,2024-03-01 11:01:18.275,2191.32348633,1004_09,2024-03-01 11:01:20.556,3194.10742188,0.0
48,2024-03-01 11:01:18.275,0.17669579,680.0,2024-03-01 11:01:18.461,0.98991042,200.0,2024-03-01 11:01:18.461,0.77634418,860.0,2024-03-01 11:01:18.652,0.0009922,860.0,2024-03-01 11:01:18.652,2190.86376953,1004_08,2024-03-01 11:01:21.061,3193.77197266,0.0
49,2024-03-01 11:01:20.240,0.1763078,640.0,2024-03-01 11:01:20.430,0.99264419,110.0,2024-03-01 11:01:20.492,0.7612288,860.0,2024-03-01 11:01:20.683,0.0024442,860.0,2024-03-01 11:01:20.683,2191.19921875,1004_03,2024-03-01 11:01:22.963,3194.11474609,0.0
50,2024-03-01 11:01:20.683,0.17666399,690.0,2024-03-01 11:01:20.873,0.99271423,0.0,2024-03-01 11:01:20.935,0.76028019,860.0,2024-03-01 11:01:21.125,0.0062332,860.0,2024-03-01 11:01:21.125,2191.12036133,1004_02,2024-03-01 11:01:23.467,3194.03540039,0.0
51,2024-03-01 11:01:21.507,0.17673001,690.0,2024-03-01 11:01:21.697,0.98992163,230.0,2024-03-01 11:01:21.697,0.76883578,860.0,2024-03-01 11:01:21.888,0.0009716,860.0,2024-03-01 11:01:21.888,2191.46411133,1004_00,2024-03-01 11:01:24.159,3194.11889648,0.0
52,2024-03-01 11:01:24.350,0.17666321,700.0,2024-03-01 11:01:24.541,0.99223822,200.0,2024-03-01 11:01:24.541,0.76876062,860.0,2024-03-01 11:01:24.731,0.0106152,860.0,2024-03-01 11:01:24.731,2191.42797852,1004_29,2024-03-01 11:01:27.134,3194.1875,0.0
53,2024-03-01 11:01:25.108,0.1766644,690.0,2024-03-01 11:01:25.296,0.9927808,100.0,2024-03-01 11:01:25.359,0.76104617,860.0,2024-03-01 11:01:25.550,0.0024398,860.0,2024-03-01 11:01:25.550,2191.11572266,1004_27,2024-03-01 11:01:27.830,3193.97143555,0.0
54,2024-03-01 11:01:25.486,0.17763659,650.0,2024-03-01 11:01:25.677,0.99271679,40.0,2024-03-01 11:01:25.740,0.76028579,860.0,2024-03-01 11:01:25.931,0.0062084,860.0,2024-03-01 11:01:25.931,2191.22460938,1004_26,2024-03-01 11:01:28.335,3194.05224609,0.0
55,2024-03-01 11:01:26.690,0.16612861,630.0,2024-03-01 11:01:26.882,0.98991942,0.0,2024-03-01 11:01:26.945,0.76011938,860.0,2024-03-01 11:01:27.134,0.0001434,860.0,2024-03-01 11:01:27.134,2190.97583008,1004_23,2024-03-01 11:01:29.534,3193.86401367,0.0
56,2024-03-01 11:01:27.574,0.1766478,690.0,2024-03-01 11:01:27.702,0.98975861,-120.0,2024-03-01 11:01:27.766,0.76320899,860.0,2024-03-01 11:01:27.956,0.0183078,860.0,2024-03-01 11:01:27.956,2191.20385742,1004_21,2024-03-01 11:01:30.230,3194.03564453,0.0
57,2024-03-01 11:01:28.714,0.1776644,650.0,2024-03-01 11:01:28.906,0.98986977,-120.0,2024-03-01 11:01:28.965,0.76879418,860.0,2024-03-01 11:01:29.156,0.000991,860.0,2024-03-01 11:01:29.156,2191.38378906,1005_18,2024-03-01 11:01:31.428,3194.16870117,0.0
58,2024-03-01 11:01:31.491,0.1763154,620.0,2024-03-01 11:01:31.681,0.98992121,40.0,2024-03-01 11:01:31.744,0.76027262,860.0,2024-03-01 11:01:31.934,0.0001276,860.0,2024-03-01 11:01:31.934,2191.23242188,1005_11,2024-03-01 11:01:34.343,3194.06689453,0.0
59,2024-03-01 11:01:32.317,0.16619781,620.0,2024-03-01 11:01:32.506,0.98987699,0.0,2024-03-01 11:01:32.570,0.76028502,860.0,2024-03-01 11:01:32.761,0.0233638,860.0,2024-03-01 11:01:32.761,2191.18701172,1005_09,2024-03-01 11:01:35.085,3194.08032227,0.0
60,2024-03-01 11:01:33.961,0.1776586,650.0,2024-03-01 11:01:34.152,0.9922322,170.0,2024-03-01 11:01:34.152,0.76883203,860.0,2024-03-01 11:01:34.343,0.0022704,860.0,2024-03-01 11:01:34.343,2191.17993164,1005_05,2024-03-01 11:01:36.797,3194.0480957,0.0
61,2024-03-01 11:01:35.149,0.16613141,620.0,2024-03-01 11:01:35.338,0.98991162,-130.0,2024-03-01 11:01:35.401,0.76323861,860.0,2024-03-01 11:01:35.591,0.001179,850.0,2024-03-01 11:01:35.591,2191.10791016,1005_02,2024-03-01 11:01:37.999,3193.99926758,0.0
62,2024-03-01 11:01:37.618,0.1776714,660.0,2024-03-01 11:01:37.809,0.99266922,250.0,2024-03-01 11:01:37.809,0.76015502,860.0,2024-03-01 11:01:37.999,0.0002168,860.0,2024-03-01 11:01:37.999,2191.18505859,1005_32,2024-03-01 11:01:40.428,3194.04101563,0.0
